"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Blocked Shots","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Real Madrid","home","win","[{""time"":18,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":73,""event"":""goal""},{""time"":75,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":91,""event"":""goal""}]","2.14","47%","14","8","2","3","3","3","1","12","16","11","4",
"Barcelona","away","loss","[{""time"":6,""event"":""goal""},{""time"":28,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":69,""event"":""goal""},{""time"":75,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.40","53%","15","6","8","2","7","2","2","12","16","12","5",
"Alaves","home","win","[{""time"":2,""event"":""foul""},{""time"":6,""event"":""foul""},{""time"":15,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":92,""event"":""goal""}]","0.30","31%","8","3","1","5","3","2","0","14","16","20","4",
"Atl. Madrid","away","loss","[{""time"":45,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":68,""event"":""foul""}]","0.83","69%","15","4","11","3","5","6","1","19","20","12","1",
"Almeria","home","loss","[{""time"":30,""event"":""goal""},{""time"":73,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":87,""event"":""foul""}]","1.68","57%","24","5","5","3","13","6","1","17","19","10","1","1"
"Villarreal","away","win","[{""time"":25,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":92,""event"":""goal""}]","1.44","43%","11","3","2","4","7","1","2","11","11","16","4","0"
"Getafe","home","draw","[{""time"":29,""event"":""goal""},{""time"":91,""event"":""foul""}]","0.95","40%","6","4","0","0","1","1","6","22","23","12","2",
"Real Sociedad","away","draw","[{""time"":13,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.20","60%","7","3","4","2","3","1","2","18","26","18","3",
"Girona","home","win","[{""time"":9,""event"":""goal""},{""time"":22,""event"":""goal""},{""time"":42,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":82,""event"":""goal""}]","2.06","57%","10","5","2","1","5","0","3","15","14","11","4",
"Cadiz CF","away","loss","[{""time"":31,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":81,""event"":""goal""}]","1.93","43%","12","5","4","2","4","3","1","14","16","14","1",
"Valencia","home","loss","[{""time"":43,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":77,""event"":""foul""}]","1.01","54%","8","5","7","2","1","2","5","11","23","18","4",
"Betis","away","win","[{""time"":13,""event"":""foul""},{""time"":19,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":77,""event"":""goal""}]","1.30","46%","12","6","6","3","3","3","2","23","16","10","4",
"Rayo Vallecano","home","win","[{""time"":45,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":80,""event"":""goal""},{""time"":84,""event"":""goal""},{""time"":86,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.50","64%","17","6","5","4","5","6","3","15","32","9","1",
"Osasuna","away","loss","[{""time"":19,""event"":""foul""},{""time"":29,""event"":""goal""},{""time"":48,""event"":""foul""}]","0.48","36%","6","2","1","1","4","0","3","10","21","15","4",
"Celta Vigo","home","win","[{""time"":37,""event"":""goal""},{""time"":39,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":76,""event"":""goal""}]","3.48","31%","21","13","8","1","5","3","6","8","17","10","3",
"Las Palmas","away","loss","[{""time"":11,""event"":""goal""}]","0.83","69%","9","4","4","0","2","3","1","12","16","9","9",
"Ath Bilbao","home","draw","[{""time"":4,""event"":""foul""},{""time"":24,""event"":""goal""},{""time"":27,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.43","67%","17","6","11","4","5","6","1","11","24","11","0",
"Granada CF","away","draw","[{""time"":6,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":81,""event"":""foul""}]","0.14","33%","5","0","4","2","3","2","1","11","16","15","5",
"Osasuna","home","loss","[{""time"":97,""event"":""foul""}]","2.02","65%","13","2","4","0","8","3","5","10","21","10","2",
"Valencia","away","win","[{""time"":18,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":85,""event"":""foul""}]","0.20","35%","4","3","1","2","1","0","0","15","9","10","2",
"Real Sociedad","home","draw","[{""time"":32,""event"":""goal""},{""time"":59,""event"":""goal""},{""time"":75,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.44","49%","17","4","5","2","11","2","2","9","24","16","1","1"
"Almeria","away","draw","[{""time"":30,""event"":""goal""},{""time"":36,""event"":""foul""},{""time"":88,""event"":""goal""},{""time"":94,""event"":""foul""}]","1.26","51%","7","3","1","2","2","2","1","16","23","8","2","0"
"Ath Bilbao","home","draw","[{""time"":11,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":94,""event"":""foul""}]","0.77","52%","13","6","3","3","5","2","1","15","18","13","1","0"
"Villarreal","away","draw","[{""time"":11,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":95,""event"":""goal""}]","2.36","48%","10","2","1","3","4","4","2","12","15","12","5","1"
"Granada CF","home","win","[{""time"":9,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":60,""event"":""foul""}]","1.27","38%","9","3","1","3","3","3","2","15","18","16","3",
"Alaves","away","loss","[{""time"":20,""event"":""foul""},{""time"":45,""event"":""foul""}]","0.37","62%","8","3","5","2","2","3","4","18","37","11","1",
"Las Palmas","home","loss","[{""time"":6,""event"":""foul""},{""time"":7,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":49,""event"":""foul""}]","0.05","63%","5","2","6","3","1","2","2","15","29","8","1","1"
"Sevilla","away","win","[{""time"":43,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":93,""event"":""goal""}]","1.86","37%","10","3","2","3","7","0","2","11","18","13","2","0"
"Cadiz CF","home","loss","[{""time"":46,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":85,""event"":""foul""}]","0.80","38%","14","3","8","3","5","6","5","17","21","17","1",
"Barcelona","away","win","[{""time"":26,""event"":""foul""},{""time"":37,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":77,""event"":""foul""}]","0.85","62%","12","2","4","3","8","2","2","22","22","15","3",
"Mallorca","home","loss","[{""time"":16,""event"":""foul""},{""time"":83,""event"":""foul""}]","0.31","44%","6","2","4","2","3","1","1","8","22","18","8",
"Real Madrid","away","win","[{""time"":48,""event"":""goal""},{""time"":85,""event"":""foul""}]","1.42","56%","16","9","2","1","3","4","1","18","19","7","2",
"Rayo Vallecano","home","draw","[{""time"":7,""event"":""foul""},{""time"":16,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.99","64%","11","2","3","4","6","3","4","21","21","17","0",
"Getafe","away","draw","[{""time"":17,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":85,""event"":""foul""}]","0.23","36%","7","0","0","6","5","2","2","21","13","19","2",
"Atl. Madrid","home","win","[{""time"":25,""event"":""foul""},{""time"":29,""event"":""foul""},{""time"":34,""event"":""goal""},{""time"":35,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":50,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.84","41%","17","4","2","3","6","7","3","14","11","18","4",
"Girona","away","loss","[{""time"":4,""event"":""goal""},{""time"":32,""event"":""foul""},{""time"":70,""event"":""foul""}]","2.37","59%","12","5","0","2","7","0","0","20","12","12","1",
"Betis","home","win","[{""time"":47,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":70,""event"":""foul""},{""time"":83,""event"":""goal""}]","0.93","47%","15","3","6","1","6","6","1","11","19","7","4",
"Celta Vigo","away","loss","[{""time"":91,""event"":""goal""}]","1.97","53%","12","5","5","0","6","1","1","8","22","10","1",
"Granada CF","home","loss","[{""time"":59,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":79,""event"":""foul""}]","0.55","57%","13","3","5","3","7","3","2","14","29","20","1",
"Valencia","away","win","[{""time"":70,""event"":""foul""},{""time"":77,""event"":""goal""}]","0.39","43%","6","2","4","1","3","1","0","22","22","15","3",
"Villarreal","home","loss","[{""time"":27,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":58,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.76","52%","11","2","3","3","9","0","1","22","25","14","6",
"Atl. Madrid","away","win","[{""time"":9,""event"":""goal""},{""time"":26,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":87,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.06","48%","14","8","3","3","5","1","0","16","13","22","1",
"Real Madrid","home","win","[{""time"":8,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":73,""event"":""goal""}]","0.93","58%","9","4","4","2","3","2","1","13","16","9","3",
"Ath Bilbao","away","loss","[{""time"":25,""event"":""foul""},{""time"":87,""event"":""foul""}]","0.27","42%","7","3","7","1","3","1","0","10","15","13","2",
"Alaves","home","loss","[{""time"":62,""event"":""foul""},{""time"":86,""event"":""foul""}]","0.22","40%","3","0","3","2","3","0","3","21","24","10","2",
"Real Sociedad","away","win","[{""time"":44,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.86","60%","12","3","8","2","6","3","3","11","25","15","0",
"Girona","home","win","[{""time"":36,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":88,""event"":""foul""},{""time"":92,""event"":""goal""},{""time"":95,""event"":""foul""}]","2.96","57%","9","5","5","3","0","4","3","16","27","13","2",
"Betis","away","loss","[{""time"":31,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":76,""event"":""goal""},{""time"":83,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.51","43%","7","4","4","4","2","1","2","16","16","14","2",
"Celta Vigo","home","draw","[{""time"":69,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":88,""event"":""foul""}]","0.75","61%","13","0","3","3","8","5","1","17","23","12","2",
"Rayo Vallecano","away","draw","[{""time"":3,""event"":""foul""},{""time"":16,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":72,""event"":""foul""}]","0.59","39%","8","2","2","3","5","1","1","10","16","16","0",
"Barcelona","home","win","[{""time"":19,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":88,""event"":""foul""}]","1.69","69%","14","2","6","5","10","2","8","15","22","11","0","0"
"Las Palmas","away","loss","[{""time"":14,""event"":""foul""},{""time"":24,""event"":""foul""}]","0.25","31%","8","0","1","1","4","4","4","20","20","9","1","1"
"Valencia","home","draw","[{""time"":17,""event"":""foul""}]","1.09","53%","14","5","3","0","5","4","0","12","30","8","3",
"Mallorca","away","draw","[{""time"":31,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.86","47%","11","3","3","2","3","5","1","8","15","11","5",
"Almeria","home","loss","[{""time"":22,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":79,""event"":""foul""}]","0.58","51%","12","5","6","3","5","2","2","17","19","12","1",
"Osasuna","away","win","[{""time"":2,""event"":""goal""},{""time"":9,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":61,""event"":""goal""}]","0.89","49%","6","4","1","2","2","0","2","15","23","14","5",
"Getafe","home","loss","[{""time"":43,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":97,""event"":""foul""}]","1.26","67%","18","5","7","4","7","6","4","15","23","11","2",
"Sevilla","away","win","[{""time"":5,""event"":""goal""},{""time"":21,""event"":""foul""},{""time"":36,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":88,""event"":""foul""}]","0.47","33%","10","3","3","5","5","2","2","9","20","15","5",
"Cadiz CF","home","win","[{""time"":46,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":91,""event"":""foul""}]","1.36","59%","13","5","5","2","6","2","2","15","22","17","2",
"Granada CF","away","loss","[{""time"":30,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":72,""event"":""foul""}]","0.60","41%","10","2","2","4","4","4","1","16","19","14","4",
"Atl. Madrid","home","loss","[{""time"":46,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.68","41%","13","3","7","3","7","3","8","7","15","15","2","1"
"Barcelona","away","win","[{""time"":33,""event"":""foul""},{""time"":38,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":65,""event"":""goal""}]","1.40","59%","9","5","3","1","3","1","0","23","13","9","3","0"
"Rayo Vallecano","home","win","[{""time"":28,""event"":""foul""},{""time"":40,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":78,""event"":""goal""},{""time"":85,""event"":""foul""},{""time"":98,""event"":""foul""}]","0.70","39%","8","4","4","4","1","3","2","18","23","22","1",
"Betis","away","loss","[{""time"":29,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.72","61%","11","1","8","4","3","7","2","23","38","16","2",
"Las Palmas","home","loss","[{""time"":26,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":84,""event"":""foul""}]","0.85","66%","21","6","11","2","9","6","3","20","21","8","1",
"Almeria","away","win","[{""time"":8,""event"":""foul""},{""time"":14,""event"":""goal""},{""time"":94,""event"":""foul""}]","0.81","34%","3","2","3","2","0","1","3","13","12","17","6",
"Villarreal","home","win","[{""time"":12,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":54,""event"":""goal""},{""time"":70,""event"":""foul""}]","2.04","53%","13","7","6","5","4","2","1","14","16","12","7",
"Valencia","away","loss","[{""time"":36,""event"":""foul""}]","1.07","47%","14","7","2","1","5","2","2","13","14","12","6",
"Sevilla","home","loss","[{""time"":18,""event"":""goal""},{""time"":29,""event"":""foul""},{""time"":29,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.75","35%","11","4","3","4","6","1","1","9","19","13","3",
"Celta Vigo","away","win","[{""time"":28,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":72,""event"":""goal""},{""time"":78,""event"":""goal""}]","1.39","65%","18","5","8","0","5","8","3","15","20","6","3",
"Ath Bilbao","home","win","[{""time"":32,""event"":""goal""},{""time"":37,""event"":""goal""},{""time"":54,""event"":""foul""}]","2.24","60%","16","4","5","1","6","6","6","15","15","7","3",
"Alaves","away","loss","[{""time"":31,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.34","40%","7","3","4","3","2","2","2","11","16","13","2",
"Getafe","home","win","[{""time"":11,""event"":""foul""},{""time"":33,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.13","41%","11","3","2","4","5","3","1","14","20","16","3",
"Girona","away","loss","[{""time"":9,""event"":""foul""},{""time"":15,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":97,""event"":""foul""}]","1.73","59%","13","3","5","4","9","1","2","17","22","13","2",
"Osasuna","home","loss","[{""time"":7,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":91,""event"":""goal""}]","0.69","37%","10","4","5","3","4","2","1","12","14","18","5",
"Real Madrid","away","win","[{""time"":4,""event"":""goal""},{""time"":18,""event"":""goal""},{""time"":44,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":61,""event"":""goal""},{""time"":64,""event"":""goal""}]","2.70","63%","17","9","7","2","5","3","3","17","25","8","2",
"Mallorca","home","win","[{""time"":23,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":85,""event"":""goal""}]","1.46","50%","18","8","10","2","7","3","3","11","29","17","3",
"Granada CF","away","loss","[]","0.34","50%","8","3","2","0","2","3","0","14","22","9","7",
"Real Sociedad","home","win","[{""time"":28,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":70,""event"":""foul""}]","2.23","63%","14","6","8","3","4","4","1","12","23","15","2",
"Cadiz CF","away","loss","[{""time"":34,""event"":""foul""},{""time"":70,""event"":""foul""}]","0.88","37%","13","2","2","1","5","6","5","15","12","6","4",
"Almeria","home","draw","[{""time"":38,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":95,""event"":""goal""},{""time"":96,""event"":""foul""}]","1.42","43%","14","4","1","2","8","2","2","11","23","6","4",
"Sevilla","away","draw","[{""time"":43,""event"":""foul""},{""time"":81,""event"":""goal""},{""time"":86,""event"":""goal""}]","2.33","57%","19","6","8","1","8","5","2","7","16","11","2",
"Betis","home","loss","[{""time"":30,""event"":""goal""},{""time"":47,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":91,""event"":""foul""}]","1.23","54%","13","4","11","3","5","4","0","9","9","12","1","1"
"Villarreal","away","win","[{""time"":29,""event"":""foul""},{""time"":40,""event"":""goal""},{""time"":48,""event"":""goal""},{""time"":67,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.49","46%","6","4","4","4","0","2","2","5","8","17","2","1"
"Real Madrid","home","win","[{""time"":21,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":79,""event"":""goal""},{""time"":88,""event"":""goal""},{""time"":94,""event"":""goal""}]","2.99","63%","25","13","12","2","8","4","0","13","12","8","1",
"Celta Vigo","away","loss","[{""time"":25,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":82,""event"":""foul""}]","0.71","37%","11","1","1","3","3","7","0","8","24","13","9",
"Las Palmas","home","loss","[{""time"":64,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":81,""event"":""foul""}]","1.22","71%","14","2","10","3","2","10","3","18","24","8","1",
"Ath Bilbao","away","win","[{""time"":31,""event"":""goal""},{""time"":48,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.78","29%","7","2","3","3","2","3","3","9","20","14","2",
"Alaves","home","win","[{""time"":28,""event"":""foul""},{""time"":44,""event"":""goal""},{""time"":97,""event"":""foul""}]","0.42","33%","12","4","7","2","6","2","2","12","21","13","3",
"Rayo Vallecano","away","loss","[{""time"":13,""event"":""foul""},{""time"":30,""event"":""foul""}]","0.55","67%","9","3","5","2","3","3","4","12","8","10","3",
"Girona","home","win","[{""time"":13,""event"":""goal""},{""time"":35,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":86,""event"":""goal""}]","1.84","60%","11","6","5","3","2","3","6","18","20","10","1",
"Osasuna","away","loss","[{""time"":45,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.22","40%","7","1","7","3","5","1","2","16","15","16","4",
"Granada CF","home","loss","[{""time"":21,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":48,""event"":""goal""}]","1.79","36%","13","6","4","1","4","3","1","23","20","17","5",
"Real Sociedad","away","win","[{""time"":23,""event"":""foul""},{""time"":33,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":80,""event"":""goal""},{""time"":85,""event"":""goal""}]","2.36","64%","11","8","6","2","2","1","6","19","26","11","4",
"Cadiz CF","home","win","[{""time"":24,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.23","40%","7","3","3","4","1","3","4","16","12","20","4",
"Atl. Madrid","away","loss","[{""time"":30,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":88,""event"":""foul""}]","0.24","60%","8","4","1","5","3","1","1","24","19","15","1",
"Valencia","home","win","[{""time"":40,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.44","51%","10","3","5","2","4","3","2","15","19","10","5",
"Getafe","away","loss","[{""time"":43,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":82,""event"":""foul""}]","1.08","49%","15","5","5","3","6","4","2","7","21","19","2",
"Barcelona","home","win","[{""time"":24,""event"":""foul""},{""time"":37,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":73,""event"":""goal""}]","1.88","64%","20","6","4","1","3","11","2","19","17","9","3",
"Mallorca","away","loss","[{""time"":86,""event"":""foul""}]","0.57","36%","9","3","1","1","5","1","6","11","8","14","5",
"Osasuna","home","win","[{""time"":15,""event"":""foul""},{""time"":16,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":76,""event"":""goal""}]","0.84","55%","15","4","5","2","5","6","0","14","31","15","4",
"Alaves","away","loss","[{""time"":24,""event"":""foul""},{""time"":51,""event"":""foul""}]","0.67","45%","10","4","5","1","3","3","2","15","20","11","3",
"Ath Bilbao","home","draw","[{""time"":52,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":86,""event"":""foul""}]","0.33","40%","8","2","4","3","4","2","5","13","15","14","2",
"Barcelona","away","draw","[{""time"":26,""event"":""foul""},{""time"":32,""event"":""foul""},{""time"":33,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":88,""event"":""foul""}]","0.73","60%","8","2","4","3","3","3","0","20","14","11","2",
"Mallorca","home","win","[{""time"":33,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.06","40%","16","2","8","5","7","7","0","10","12","19","4",
"Girona","away","loss","[{""time"":48,""event"":""foul""}]","1.09","60%","15","4","5","0","7","4","1","19","25","9","1",
"Atl. Madrid","home","win","[{""time"":8,""event"":""goal""},{""time"":18,""event"":""foul""},{""time"":28,""event"":""foul""},{""time"":44,""event"":""goal""}]","2.93","43%","17","12","4","1","4","1","3","12","9","9","5",
"Betis","away","loss","[{""time"":62,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":85,""event"":""foul""}]","0.53","57%","12","6","6","2","4","2","0","12","26","12","10",
"Villarreal","home","win","[{""time"":7,""event"":""goal""},{""time"":19,""event"":""goal""},{""time"":32,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":84,""event"":""foul""}]","2.00","48%","16","10","6","1","3","3","1","12","11","12","2",
"Granada CF","away","loss","[{""time"":15,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":91,""event"":""goal""}]","0.45","52%","9","3","4","2","4","2","2","13","16","15","5",
"Valencia","home","draw","[{""time"":4,""event"":""foul""},{""time"":27,""event"":""goal""},{""time"":30,""event"":""goal""},{""time"":83,""event"":""foul""},{""time"":89,""event"":""foul""}]","1.16","29%","12","5","2","2","4","3","0","13","19","18","3","0"
"Real Madrid","away","draw","[{""time"":50,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":76,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":99,""event"":""foul""},{""time"":99,""event"":""foul""}]","2.48","71%","10","5","2","3","5","0","2","19","16","11","3","1"
"Getafe","home","draw","[{""time"":7,""event"":""foul""},{""time"":11,""event"":""goal""},{""time"":14,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":45,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":78,""event"":""foul""}]","1.97","27%","16","5","4","4","5","6","2","13","22","28","2",
"Las Palmas","away","draw","[{""time"":35,""event"":""goal""},{""time"":50,""event"":""goal""},{""time"":57,""event"":""goal""},{""time"":67,""event"":""foul""}]","1.35","73%","14","5","4","1","7","2","4","30","20","9","2",
"Rayo Vallecano","home","loss","[{""time"":43,""event"":""foul""}]","0.63","53%","9","5","4","1","2","2","0","21","23","14","4",
"Cadiz CF","away","win","[{""time"":94,""event"":""foul""},{""time"":102,""event"":""goal""}]","0.71","47%","16","5","9","1","6","5","3","13","29","17","4",
"Sevilla","home","win","[{""time"":11,""event"":""goal""},{""time"":13,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":86,""event"":""foul""},{""time"":87,""event"":""foul""}]","1.78","39%","12","5","2","1","5","2","1","20","21","12","2",
"Real Sociedad","away","loss","[{""time"":50,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":92,""event"":""goal""},{""time"":97,""event"":""foul""}]","1.64","61%","13","4","5","2","5","4","6","10","21","15","2",
"Celta Vigo","home","win","[{""time"":20,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":73,""event"":""goal""}]","1.48","67%","15","6","7","1","3","6","2","14","23","8","0","0"
"Almeria","away","loss","[{""time"":47,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.11","33%","3","0","0","2","3","0","3","10","20","14","5","1"
"Girona","home","win","[{""time"":52,""event"":""goal""},{""time"":54,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":91,""event"":""goal""},{""time"":91,""event"":""foul""},{""time"":95,""event"":""goal""}]","1.56","55%","14","8","2","3","4","2","4","15","14","13","1","0"
"Rayo Vallecano","away","loss","[{""time"":65,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":81,""event"":""foul""}]","0.44","45%","7","1","2","5","4","2","2","13","18","16","5","1"
"Real Madrid","home","win","[{""time"":10,""event"":""foul""},{""time"":13,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":81,""event"":""goal""}]","0.84","64%","16","6","7","1","5","5","1","9","27","10","1",
"Sevilla","away","loss","[{""time"":70,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":98,""event"":""foul""}]","0.70","36%","4","1","2","3","3","0","0","14","16","13","5",
