"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Blocked Shots","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Real Sociedad","away","win","[{""time"":5,""event"":""goal""},{""time"":42,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.44","29%","5","2","2","4","2","1","1","17","15","18","9",
"Cadiz CF","home","draw","[{""time"":37,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":82,""event"":""foul""}]","0.80","46%","10","3","5","3","6","1","2","14","17","13","1","1"
"Las Palmas","away","draw","[]","0.61","54%","9","1","3","1","6","2","4","14","22","12","3","0"
"Granada CF","home","loss","[{""time"":66,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":86,""event"":""goal""},{""time"":97,""event"":""foul""}]","1.13","48%","11","3","10","2","6","2","2","12","20","15","3",
"Celta Vigo","away","win","[{""time"":61,""event"":""goal""},{""time"":63,""event"":""goal""},{""time"":68,""event"":""foul""}]","1.32","52%","8","5","2","1","3","0","2","14","17","12","2",
"Mallorca","home","draw","[{""time"":18,""event"":""foul""},{""time"":29,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":83,""event"":""goal""}]","3.19","50%","29","8","12","2","13","8","2","10","20","9","1",
"Almeria","away","draw","[{""time"":41,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":66,""event"":""goal""}]","0.43","50%","7","3","2","3","2","2","1","11","15","9","6",
"Valencia","home","loss","[{""time"":26,""event"":""foul""},{""time"":84,""event"":""goal""},{""time"":92,""event"":""foul""}]","2.89","36%","20","6","5","2","10","4","0","10","6","10","2",
"Girona","away","win","[{""time"":32,""event"":""goal""},{""time"":58,""event"":""goal""},{""time"":67,""event"":""goal""}]","2.49","64%","18","5","4","0","6","7","4","4","5","8","5",
"Villarreal","home","draw","[{""time"":39,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":56,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":98,""event"":""foul""}]","1.98","44%","21","7","3","2","7","7","0","13","16","15","2",
"Real Madrid","away","draw","[{""time"":14,""event"":""goal""},{""time"":30,""event"":""goal""},{""time"":40,""event"":""goal""},{""time"":47,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":86,""event"":""foul""}]","1.16","56%","12","6","3","2","4","2","1","15","18","12","3",
"Alaves","home","win","[{""time"":12,""event"":""goal""},{""time"":15,""event"":""foul""},{""time"":37,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.19","48%","9","2","2","5","5","2","3","29","31","13","4","0"
