"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Dortmund","away","draw","[{""time"":8,""event"":""goal""},{""time"":98,""event"":""foul""}]","1.46","62%","12","5","3","1","7","3","23","20","5","3",
"FC Koln","home","loss","[{""time"":26,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.55","57%","10","2","5","4","8","2","11","32","16","3",
"Werder Bremen","away","win","[{""time"":26,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":88,""event"":""foul""}]","1.87","43%","13","4","3","4","9","0","19","13","11","2",
"Hoffenheim","home","loss","[{""time"":32,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":81,""event"":""foul""}]","0.80","53%","10","4","10","3","6","2","10","13","12","0",
"FC Koln","away","win","[{""time"":55,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":79,""event"":""goal""},{""time"":84,""event"":""foul""}]","0.17","47%","5","1","3","4","4","0","15","30","13","3",
"Stuttgart","home","win","[{""time"":47,""event"":""goal""},{""time"":49,""event"":""goal""},{""time"":73,""event"":""goal""},{""time"":82,""event"":""foul""}]","1.70","55%","10","7","4","1","3","0","9","15","7","5",
"Mainz","away","loss","[{""time"":76,""event"":""goal""},{""time"":84,""event"":""foul""}]","1.75","45%","16","6","5","1","10","0","7","25","9","4",
"Bayer Leverkusen","home","win","[{""time"":18,""event"":""goal""},{""time"":50,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":95,""event"":""goal""}]","1.76","38%","14","8","4","3","6","3","14","20","13","1",
"Bayern Munich","away","loss","[{""time"":36,""event"":""foul""},{""time"":62,""event"":""foul""}]","0.27","62%","8","1","6","2","7","1","16","22","13","5",
"Augsburg","home","draw","[{""time"":35,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":60,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.91","48%","11","4","1","5","7","3","14","24","15","4",
"RB Leipzig","away","draw","[{""time"":39,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":74,""event"":""foul""},{""time"":82,""event"":""foul""}]","1.76","52%","9","6","3","1","3","3","16","18","10","2",
"B. Monchengladbach","home","draw","[{""time"":61,""event"":""foul""},{""time"":58,""event"":""foul""}]","2.14","58%","22","8","7","0","14","0","17","19","11","1",
"Darmstadt","away","draw","[{""time"":12,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.64","42%","10","1","2","5","9","3","10","22","15","8",
"Eintracht Frankfurt","home","draw","[{""time"":14,""event"":""goal""},{""time"":21,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":80,""event"":""foul""}]","2.09","52%","8","2","8","2","6","0","12","22","6","4",
"Bochum","away","draw","[{""time"":17,""event"":""goal""},{""time"":35,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.98","48%","14","5","3","2","9","3","7","22","12","1",
"Union Berlin","home","win","[{""time"":71,""event"":""goal""},{""time"":85,""event"":""foul""}]","0.50","48%","7","2","6","1","5","3","10","23","12","5",
"Wolfsburg","away","loss","[{""time"":72,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.24","52%","15","5","10","2","10","1","15","29","9","1",
"Werder Bremen","home","loss","[{""time"":19,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":45,""event"":""foul""}]","2.01","63%","14","3","5","1","11","5","15","22","10","1",
"Heidenheim","away","win","[{""time"":2,""event"":""foul""},{""time"":12,""event"":""goal""},{""time"":18,""event"":""goal""},{""time"":43,""event"":""foul""}]","2.36","37%","10","3","10","2","7","2","14","19","13","2",
"Dortmund","home","win","[{""time"":14,""event"":""foul""},{""time"":16,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":73,""event"":""foul""},{""time"":87,""event"":""goal""}]","2.39","65%","17","8","5","2","9","3","8","18","13","3",
"Freiburg","away","loss","[]","0.25","35%","6","3","3","0","3","3","16","8","7","5",
"Mainz","home","draw","[{""time"":15,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":89,""event"":""foul""}]","1.78","46%","16","7","8","2","9","2","15","29","14","3",
"Union Berlin","away","draw","[{""time"":58,""event"":""goal""},{""time"":53,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.94","54%","15","4","3","4","11","2","16","25","15","6",
"RB Leipzig","home","win","[{""time"":11,""event"":""goal""},{""time"":20,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":57,""event"":""foul""}]","1.56","64%","16","6","5","1","10","2","11","16","13","2","0"
"Union Berlin","away","loss","[{""time"":22,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":73,""event"":""foul""}]","0.55","36%","10","2","4","2","8","0","15","14","11","4","1"
"Wolfsburg","home","draw","[{""time"":58,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":92,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.73","47%","14","8","7","2","6","1","18","17","12","5",
"Hoffenheim","away","draw","[{""time"":6,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.82","53%","17","7","2","3","10","3","12","22","16","6",
"FC Koln","home","win","[{""time"":19,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":80,""event"":""goal""}]","1.61","44%","14","4","7","1","10","2","14","22","8","4","0"
"Eintracht Frankfurt","away","loss","[{""time"":34,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":83,""event"":""foul""}]","0.97","56%","11","4","7","4","7","1","8","19","13","2","2"
"Bayern Munich","home","win","[{""time"":45,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":86,""event"":""goal""}]","2.07","55%","21","6","6","0","15","1","9","17","11","3",
"B. Monchengladbach","away","loss","[{""time"":30,""event"":""foul""},{""time"":35,""event"":""goal""}]","0.72","45%","11","4","5","1","7","0","12","18","9","3",
"Bochum","home","draw","[{""time"":33,""event"":""goal""},{""time"":44,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":76,""event"":""foul""}]","0.99","50%","9","4","3","3","5","3","16","26","17","5",
"Augsburg","away","draw","[{""time"":70,""event"":""foul""},{""time"":91,""event"":""goal""}]","1.69","50%","12","6","5","1","6","3","20","29","14","3",
"Darmstadt","home","loss","[{""time"":49,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":81,""event"":""foul""}]","0.33","36%","8","6","4","2","2","2","10","12","14","5",
"Bayer Leverkusen","away","win","[{""time"":7,""event"":""foul""},{""time"":33,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":74,""event"":""foul""}]","1.88","64%","18","7","3","2","11","2","16","16","8","6",
"Freiburg","home","loss","[{""time"":18,""event"":""foul""},{""time"":21,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":90,""event"":""foul""},{""time"":99,""event"":""foul""}]","0.57","38%","7","4","1","4","3","1","7",,"10","6","1"
"Stuttgart","away","win","[{""time"":3,""event"":""goal""},{""time"":7,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":74,""event"":""goal""},{""time"":99,""event"":""foul""}]","1.84","62%","17","9","6","2","8","0","11",,"7","3","0"
"Mainz","home","loss","[{""time"":67,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":88,""event"":""foul""}]","1.24","54%","20","5","11","4","15","2","17","23","22","0",
"Werder Bremen","away","win","[{""time"":2,""event"":""goal""},{""time"":35,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":88,""event"":""foul""}]","0.72","46%","6","1","1","3","5","1","24","12","16","5",
"Heidenheim","home","draw","[{""time"":70,""event"":""foul""}]","1.10","35%","11","0","4","0","11","2","9","14","7","5",
"Dortmund","away","draw","[{""time"":26,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.91","65%","13","5","6","2","8","3","8","19","7","0",
"Dortmund","home","win","[{""time"":6,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":72,""event"":""goal""},{""time"":91,""event"":""goal""}]","2.50","63%","15","6","8","1","9","1","21","19","10","3",
"Bochum","away","loss","[{""time"":3,""event"":""foul""},{""time"":45,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.50","37%","10","4","4","3","6","5","11","25","16","3",
"Union Berlin","home","win","[{""time"":62,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":83,""event"":""foul""}]","3.33","51%","19","6","4","3","13","3","8","19","13","1",
"Darmstadt","away","loss","[{""time"":14,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":83,""event"":""foul""}]","1.42","49%","15","1","3","2","14","0","17","27","9","5",
"Bayer Leverkusen","home","draw","[{""time"":47,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":74,""event"":""foul""}]","2.87","67%","28","8","8","3","20","1","9","15","15","3",
"B. Monchengladbach","away","draw","[{""time"":81,""event"":""foul""}]","0.21","33%","4","3","2","1","1","2","17","10","6","8",
"Augsburg","home","loss","[{""time"":12,""event"":""foul""},{""time"":19,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":94,""event"":""goal""}]","2.41","43%","14","7","4","2","7","4","10","21","12","1",
"Bayern Munich","away","win","[{""time"":6,""event"":""foul""},{""time"":23,""event"":""goal""},{""time"":26,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":58,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":96,""event"":""foul""},{""time"":97,""event"":""foul""},{""time"":97,""event"":""foul""},{""time"":98,""event"":""foul""}]","2.79","57%","13","4","5","6","9","2","16","13","11","5",
"Hoffenheim","home","draw","[{""time"":52,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":94,""event"":""foul""}]","2.80","61%","20","8","9","4","12","2","14","21","11","2",
"Heidenheim","away","draw","[{""time"":29,""event"":""goal""}]","1.15","39%","15","3","5","0","12","1","13","18","13","7",
"Stuttgart","home","win","[{""time"":25,""event"":""goal""},{""time"":30,""event"":""goal""},{""time"":48,""event"":""goal""},{""time"":56,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":75,""event"":""goal""}]","2.80","52%","19","11","9","1","8","1","14","20","9","0",
"RB Leipzig","away","loss","[{""time"":5,""event"":""foul""},{""time"":16,""event"":""foul""},{""time"":32,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":55,""event"":""goal""},{""time"":79,""event"":""foul""}]","0.49","48%","4","2","3","4","2","3","10","25","11","6",
"Werder Bremen","home","win","[{""time"":9,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":89,""event"":""foul""},{""time"":93,""event"":""goal""}]","2.40","45%","14","4","5","2","10","0","11","7","14","3",
"Freiburg","away","loss","[{""time"":28,""event"":""goal""},{""time"":89,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.28","55%","7","4","5","1","3","1","14","8","10","1",
"Wolfsburg","home","draw","[{""time"":40,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":91,""event"":""foul""}]","2.25","51%","12","5","6","5","7","0","17","26","17","1",
"FC Koln","away","draw","[{""time"":38,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":77,""event"":""foul""}]","0.42","49%","6","2","3","3","4","4","17","23","12","4",
"Eintracht Frankfurt","home","win","[{""time"":24,""event"":""foul""},{""time"":34,""event"":""foul""},{""time"":73,""event"":""goal""}]","1.81","54%","13","4","2","2","9","0","14","25","10","0",
"Mainz","away","loss","[{""time"":40,""event"":""foul""}]","0.69","46%","7","0","1","1","7","4","4","32","12","3",
"Bayern Munich","home","win","[{""time"":46,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":95,""event"":""foul""}]","2.83","69%","24","10","12","2","14","4","5","1","5","1",
"Union Berlin","away","loss","[{""time"":26,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":95,""event"":""foul""},{""time"":95,""event"":""foul""},{""time"":96,""event"":""foul""}]","0.51","31%","4","1","1","4","3","0","9","2","9","9",
"B. Monchengladbach","home","loss","[{""time"":26,""event"":""goal""},{""time"":67,""event"":""foul""}]","2.33","51%","18","4","5","1","14","2","21","21","10","5",
"Augsburg","away","win","[{""time"":41,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":80,""event"":""foul""}]","1.61","49%","15","7","7","2","8","1","11","24","20","3",
"Bayern Munich","home","loss","[{""time"":17,""event"":""foul""},{""time"":74,""event"":""foul""}]","1.48","65%","21","6","10","2","15","2","9","20","12","2",
"Werder Bremen","away","win","[{""time"":28,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":71,""event"":""foul""}]","0.50","35%","8","3","2","1","5","1","15","13","7","6",
"RB Leipzig","home","loss","[{""time"":7,""event"":""goal""},{""time"":56,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":87,""event"":""foul""}]","1.12","44%","11","6","1","2","5","1","12","18","11","2",
"Bayer Leverkusen","away","win","[{""time"":12,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":34,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":63,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":91,""event"":""goal""}]","2.81","56%","18","5","9","3","13","1","10","9","11","4",
"Bochum","home","win","[{""time"":36,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":95,""event"":""foul""},{""time"":96,""event"":""foul""}]","0.81","43%","6","1","1","5","5","4","18","21","16","4",
"Stuttgart","away","loss","[{""time"":35,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":95,""event"":""foul""}]","2.04","57%","17","4","7","3","13","1","21","24","16","0",
"Darmstadt","home","draw","[{""time"":19,""event"":""foul""},{""time"":62,""event"":""goal""},{""time"":95,""event"":""goal""}]","1.25","48%","13","3","4","1","10","3","9","15","11","2",
"Eintracht Frankfurt","away","draw","[{""time"":33,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":68,""event"":""foul""}]","1.26","52%","7","4","1","1","3","1","14","14","7","1",
"FC Koln","home","loss","[{""time"":76,""event"":""foul""},{""time"":85,""event"":""foul""}]","1.22","44%","16","5","13","2","11","1","7","20","16","3",
"Dortmund","away","win","[{""time"":12,""event"":""goal""},{""time"":27,""event"":""foul""},{""time"":58,""event"":""goal""},{""time"":61,""event"":""goal""},{""time"":82,""event"":""foul""},{""time"":92,""event"":""goal""}]","3.08","56%","11","7","4","2","4","2","15","13","7","5",
"Freiburg","home","draw","[{""time"":37,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":55,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":85,""event"":""goal""}]","2.20","44%","16","8","2","3","8","1","11","24","18","2","1"
"Hoffenheim","away","draw","[{""time"":8,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":57,""event"":""goal""},{""time"":77,""event"":""goal""},{""time"":87,""event"":""foul""}]","1.77","56%","16","4","2","3","12","1","18","11","10","5","0"
"Heidenheim","home","draw","[{""time"":22,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":64,""event"":""foul""}]","0.88","52%","12","3","4","0","9","2","10","30","11","2",
"Wolfsburg","away","draw","[{""time"":7,""event"":""goal""},{""time"":48,""event"":""foul""},{""time"":49,""event"":""foul""}]","1.19","48%","12","3","2","1","9","1","11","19","10","2",
"B. Monchengladbach","home","win","[{""time"":1,""event"":""goal""},{""time"":19,""event"":""goal""},{""time"":35,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":91,""event"":""goal""},{""time"":95,""event"":""foul""}]","2.11","33%","8","4","0","3","4","4","12","8","7","1",
"Stuttgart","away","loss","[{""time"":48,""event"":""foul""},{""time"":55,""event"":""goal""},{""time"":83,""event"":""foul""},{""time"":83,""event"":""foul""}]","0.81","67%","14","2","3","3","12","0","10","16","11","1",
"Bochum","home","draw","[{""time"":3,""event"":""foul""},{""time"":25,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.75","51%","13","4","3","6","9","4","17","27","14","3",
"Werder Bremen","away","draw","[{""time"":25,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":93,""event"":""goal""}]","0.96","49%","15","4","4","5","11","3","18","20","14","3",
"Darmstadt","home","loss","[{""time"":51,""event"":""foul""}]","0.51","45%","10","2","3","1","8","2","14","20","10","5",
"Dortmund","away","win","[{""time"":3,""event"":""foul""},{""time"":24,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":77,""event"":""goal""},{""time"":88,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":92,""event"":""goal""}]","2.83","55%","17","8","4","3","9","1","12","21","13","2",
"Augsburg","home","loss","[{""time"":18,""event"":""foul""},{""time"":19,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":72,""event"":""foul""}]","0.13","34%","2","0","0","3","2","4","8","10","11","5",
"Bayer Leverkusen","away","win","[{""time"":46,""event"":""foul""},{""time"":94,""event"":""goal""}]","2.61","66%","25","6","12","1","19","3","16","23","4","0",
"FC Koln","home","draw","[{""time"":12,""event"":""foul""},{""time"":29,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.97","52%","13","6","9","2","7","1","11","19","12","1",
"Heidenheim","away","draw","[{""time"":16,""event"":""foul""},{""time"":55,""event"":""goal""}]","1.18","48%","10","2","6","1","8","0","13","17","11","5",
"Freiburg","home","draw","[]","1.61","57%","14","4","4","0","10","4","10","17","7","4",
"Union Berlin","away","draw","[{""time"":50,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.36","43%","8","4","3","2","4","1","11","13","9","4",
"Mainz","home","draw","[{""time"":3,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":61,""event"":""goal""}]","0.56","54%","12","4","7","3","8","1","17","30","21","3",
"Wolfsburg","away","draw","[{""time"":12,""event"":""goal""},{""time"":16,""event"":""foul""},{""time"":27,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":79,""event"":""foul""}]","0.54","46%","9","4","3","4","5","3","22","12","16","3",
"RB Leipzig","home","loss","[]","3.07","61%","26","7","15","0","19","5","19","25","7","0",
"Eintracht Frankfurt","away","win","[{""time"":7,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.81","39%","5","1","4","2","4","3","13","22","16","7",
"Bayern Munich","home","win","[{""time"":18,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":83,""event"":""foul""},{""time"":90,""event"":""goal""}]","2.31","60%","27","12","11","1","15","2","5","19","8","4","0"
"Hoffenheim","away","loss","[{""time"":16,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":74,""event"":""foul""}]","1.45","40%","12","4","2","3","8","0","11","18","6","9","1"
"Bayer Leverkusen","home","win","[{""time"":30,""event"":""goal""},{""time"":32,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":69,""event"":""goal""}]","3.82","63%","15","8","4","0","7","5","6","11","7","1",
"Bochum","away","loss","[{""time"":39,""event"":""foul""},{""time"":51,""event"":""foul""}]","0.41","37%","6","1","3","2","5","2","8","14","12","4",
"Eintracht Frankfurt","home","win","[{""time"":71,""event"":""foul""},{""time"":93,""event"":""goal""},{""time"":98,""event"":""goal""}]","1.64","61%","15","7","8","1","8","1","16","28","11","1","0"
"B. Monchengladbach","away","loss","[{""time"":27,""event"":""goal""},{""time"":35,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":96,""event"":""foul""}]","0.31","39%","7","2","2","6","5","2","12","12","14","5","1"
"Heidenheim","home","win","[{""time"":33,""event"":""foul""},{""time"":37,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":84,""event"":""goal""},{""time"":92,""event"":""goal""}]","1.83","54%","14","3","7","3","11","2","11","18","20","2",
"Freiburg","away","loss","[{""time"":5,""event"":""foul""},{""time"":7,""event"":""goal""},{""time"":36,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":76,""event"":""foul""}]","1.79","46%","10","4","4","4","6","0","20","13","12","1",
"Stuttgart","home","win","[{""time"":18,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":69,""event"":""goal""}]","2.97","63%","17","7","4","0","10","3","14","25","8","5",
"Augsburg","away","loss","[{""time"":12,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":81,""event"":""foul""}]","0.50","37%","6","5","4","4","1","2","11","15","14","4",
"Wolfsburg","home","loss","[{""time"":11,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.34","41%","5","4","0","4","1","1","10","24","14","6",
"Bayern Munich","away","win","[{""time"":20,""event"":""foul""},{""time"":33,""event"":""goal""},{""time"":43,""event"":""goal""},{""time"":91,""event"":""foul""}]","2.49","59%","21","8","6","2","13","0","15","20","12","3",
"Union Berlin","home","win","[{""time"":56,""event"":""goal""},{""time"":78,""event"":""goal""}]","1.48","41%","12","8","4",,"4","2","9","22","10","7",
"FC Koln","away","loss","[]","0.92","59%","15","7","5",,"8","1","14","23","7","6",
"Dortmund","home","draw","[{""time"":29,""event"":""goal""},{""time"":46,""event"":""foul""}]","1.35","64%","21","8","6","0","13","1","19","20","11","5",
"Mainz","away","draw","[{""time"":39,""event"":""foul""},{""time"":43,""event"":""goal""},{""time"":85,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.12","36%","11","6","1","4","5","5","12","20","14","7",
"Hoffenheim","home","draw","[{""time"":14,""event"":""goal""},{""time"":28,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":72,""event"":""foul""}]","3.93","45%","13","4","8","2","9","0","15","21","9","0",
"Darmstadt","away","draw","[{""time"":13,""event"":""foul""},{""time"":23,""event"":""goal""},{""time"":57,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":85,""event"":""goal""}]","0.82","55%","14","3","3","4","11","1","9","23","15","1",
"Werder Bremen","home","draw","[{""time"":59,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":75,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.85","47%","11","3","1","4","8","3","10","20","15","8",
"RB Leipzig","away","draw","[{""time"":41,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":91,""event"":""foul""}]","2.69","53%","18","9","4","2","9","2","18","19","9","2",
"Bayern Munich","home","win","[{""time"":2,""event"":""goal""},{""time"":25,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":63,""event"":""goal""}]","2.88","42%","17","8","6","0","9","4","8","24","7","2",
"Stuttgart","away","loss","[{""time"":31,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":82,""event"":""foul""}]","0.18","58%","5","2","2","3","3","0","12","23","8","5",
"Bayer Leverkusen","home","win","[{""time"":12,""event"":""foul""},{""time"":14,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":57,""event"":""goal""}]","2.84","58%","14","6","5","1","8","5","15","23","4","2",
"Eintracht Frankfurt","away","loss","[{""time"":33,""event"":""foul""},{""time"":64,""event"":""foul""}]","0.22","42%","4","2","5","1","2","1","10","13","13","3",
"Freiburg","home","win","[{""time"":40,""event"":""foul""},{""time"":72,""event"":""goal""},{""time"":95,""event"":""goal""}]","4.59","50%","23","7","5","1","16","0","14","26","13","1","0"
"FC Koln","away","loss","[{""time"":27,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":62,""event"":""foul""}]","1.04","50%","7","1","2","4","6","3","13","15","10","5","1"
"RB Leipzig","home","win","[{""time"":34,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":74,""event"":""goal""},{""time"":81,""event"":""foul""}]","3.57","56%","23","11","9","3","12","2","8","13","11","3",
"Hoffenheim","away","loss","[{""time"":42,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.02","44%","10","4","2","2","6","0","12","14","9","8",
"Augsburg","home","draw","[{""time"":23,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":94,""event"":""foul""}]","2.42","43%","20","4","4","2","16","1","3","16","13","5",
"Dortmund","away","draw","[{""time"":35,""event"":""goal""},{""time"":91,""event"":""foul""}]","3.11","57%","24","6","7","1","18","1","14","16","4","3",
"Bochum","home","win","[{""time"":20,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":78,""event"":""goal""},{""time"":91,""event"":""foul""}]","3.49","49%","21","7","6","2","14","2","14","17","12","2",
"Union Berlin","away","loss","[{""time"":42,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":85,""event"":""foul""}]","1.04","51%","10","2","4","2","8","2","16","19","13","4",
"Darmstadt","home","loss","[{""time"":69,""event"":""foul""},{""time"":96,""event"":""foul""}]","0.71","62%","14","4","7","2","10","0","10","15","16","2","0"
"Wolfsburg","away","win","[{""time"":27,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":95,""event"":""foul""}]","0.78","38%","11","3","7","0","8","0","15","24","10","4","1"
"Mainz","home","loss","[{""time"":38,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.43","63%","16","4","8","3","12","1","21","38","9","1",
"Heidenheim","away","win","[{""time"":12,""event"":""goal""},{""time"":30,""event"":""foul""},{""time"":34,""event"":""foul""},{""time"":57,""event"":""foul""}]","0.41","37%","5","2","1","3","3","1","9","21","20","4",
"B. Monchengladbach","home","draw","[{""time"":34,""event"":""foul""},{""time"":45,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.26","50%","15","4","4","4","11","4","10","13","10","3",
"Werder Bremen","away","draw","[{""time"":7,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":76,""event"":""goal""}]","2.05","50%","10","5","3","2","5","1","13","16","12","2",
