"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Dortmund","home","win","[{""time"":33,""event"":""goal""},{""time"":81,""event"":""goal""},{""time"":87,""event"":""foul""},{""time"":93,""event"":""goal""}]","2.43","64%","16","6","8","1","10","0","11","24","5","5",
"Eintracht Frankfurt","away","loss","[{""time"":13,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.79","36%","8","6","3","2","2","3","4","14","9","3",
"Freiburg","home","loss","[{""time"":10,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":79,""event"":""goal""}]","0.81","35%","9","3","2","1","6","1","6","14","13","4",
"Bayer Leverkusen","away","win","[{""time"":2,""event"":""goal""},{""time"":40,""event"":""goal""},{""time"":53,""event"":""goal""}]","2.90","65%","18","7","8","0","11","0","13","8","6","1",
"Hoffenheim","home","loss","[{""time"":48,""event"":""foul""}]","0.26","46%","8","1","5","1","7","1","13","21","8","9",
"Stuttgart","away","win","[{""time"":16,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":68,""event"":""goal""}]","3.43","54%","25","12","6","0","13","1","9","20","12","1",
"Darmstadt","home","loss","[{""time"":28,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":95,""event"":""goal""}]","1.31","28%","7","3","2","1","4","1","7","10","9","1",
"Bayern Munich","away","win","[{""time"":36,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":58,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":74,""event"":""goal""},{""time"":82,""event"":""foul""},{""time"":93,""event"":""goal""}]","4.42","72%","26","6","9","0","20","1","10","25","6","1",
"Heidenheim","home","draw","[{""time"":36,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":92,""event"":""foul""}]","2.21","53%","16","5","10","1","11","2","8","23","16","1",
"B. Monchengladbach","away","draw","[{""time"":9,""event"":""goal""},{""time"":18,""event"":""foul""},{""time"":22,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":64,""event"":""foul""}]","0.56","47%","6","2","4","3","4","0","18","28","8","4",
"Mainz","home","win","[{""time"":1,""event"":""foul""},{""time"":8,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":88,""event"":""foul""}]","2.60","51%","13","4","7","4","9","1","17","24","15","4",
"Bochum","away","loss","[{""time"":33,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":86,""event"":""foul""}]","0.72","49%","11","4","6","3","7","2","16","27","15","2",
"Union Berlin","home","win","[{""time"":26,""event"":""foul""},{""time"":27,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":52,""event"":""goal""}]","1.25","48%","11","6","4","3","5","0","10","18","16","1",
"Werder Bremen","away","loss","[{""time"":33,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.02","52%","10","2","3","5","8","0","11","12","16","4",
"Wolfsburg","home","loss","[{""time"":9,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":82,""event"":""foul""}]","1.52","51%","15","4","8","1","11","1","23","11","12","2","1"
"Augsburg","away","win","[{""time"":47,""event"":""goal""},{""time"":61,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":79,""event"":""goal""}]","1.19","49%","14","5","6","3","9","5","13","17","19","3","0"
"FC Koln","home","loss","[{""time"":18,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":66,""event"":""foul""}]","1.68","38%","9","2","3","2","7","1","14","16","11","2",
"RB Leipzig","away","win","[{""time"":15,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":67,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":82,""event"":""goal""}]","4.27","62%","23","7","6","2","16","1","12","15","12","1",
"Bayer Leverkusen","home","win","[{""time"":37,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":86,""event"":""goal""}]","2.26","70%","19","7","9","1","12","0","7","18","6","1","0"
"Wolfsburg","away","loss","[{""time"":7,""event"":""foul""},{""time"":12,""event"":""foul""},{""time"":28,""event"":""foul""}]","0.12","30%","2","1","2","3","1","0","6","12","7","5","1"
"Eintracht Frankfurt","home","win","[{""time"":12,""event"":""foul""},{""time"":32,""event"":""goal""},{""time"":50,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":74,""event"":""foul""}]","3.58","62%","17","7","5","2","10","2","12","19","11","1","0"
"Hoffenheim","away","loss","[{""time"":6,""event"":""goal""},{""time"":9,""event"":""foul""},{""time"":22,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":78,""event"":""foul""}]","0.67","38%","6","2","1","3","4","3","15","16","10","4","2"
"Bochum","home","loss","[{""time"":33,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":62,""event"":""goal""},{""time"":82,""event"":""foul""}]","1.19","55%","18","6","12","3","12","2","15","31","11","3",
"Freiburg","away","win","[{""time"":34,""event"":""foul""},{""time"":36,""event"":""goal""},{""time"":42,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.44","45%","9","5","5","7","4","3","13","14","11","5",
"Werder Bremen","home","loss","[{""time"":70,""event"":""goal""},{""time"":77,""event"":""foul""}]","1.31","46%","15","5","10","1","10","2","10","14","6","4","0"
"Dortmund","away","win","[{""time"":21,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.98","54%","13","6","4","2","7","2","8","11","8","4","1"
"Augsburg","home","win","[{""time"":22,""event"":""goal""},{""time"":27,""event"":""foul""}]","0.74","59%","8","4","5","1","4","1","21","27","14","1",
"Heidenheim","away","loss","[{""time"":46,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":93,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.36","41%","6","1","2","3","5","1","15","17","20","3",
"B. Monchengladbach","home","draw","[{""time"":31,""event"":""foul""},{""time"":32,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":73,""event"":""goal""},{""time"":83,""event"":""foul""}]","2.00","58%","16","5","8","3","11","3","13","15","15","2",
"FC Koln","away","draw","[{""time"":7,""event"":""goal""},{""time"":22,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":79,""event"":""goal""},{""time"":83,""event"":""foul""}]","1.09","42%","12","5","3","4","7","1","19","21","15","2",
"Bayern Munich","home","win","[{""time"":5,""event"":""foul""},{""time"":13,""event"":""goal""},{""time"":18,""event"":""foul""},{""time"":19,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":47,""event"":""goal""},{""time"":61,""event"":""goal""},{""time"":66,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":92,""event"":""goal""}]","6.59","59%","25","12","6","1","13","2","8","15","8","2",
"Mainz","away","loss","[{""time"":31,""event"":""goal""},{""time"":35,""event"":""foul""},{""time"":84,""event"":""foul""}]","0.95","41%","13","3","7","1","10","1","10","11","7","4",
"RB Leipzig","home","win","[{""time"":3,""event"":""goal""},{""time"":50,""event"":""goal""}]","3.57","61%","28","8","8","0","20","0","14","19","3","4",
"Darmstadt","away","loss","[{""time"":7,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":67,""event"":""foul""}]","0.67","39%","9","4","4","3","5","1","3","16","14","6",
"Stuttgart","home","win","[{""time"":19,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":84,""event"":""foul""}]","1.03","66%","14","5","4","1","9","2","16","15","7","4","0"
"Union Berlin","away","loss","[{""time"":39,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":77,""event"":""foul""}]","1.04","34%","10","4","3","2","6","3","9","13","14","3","1"
"Hoffenheim","home","win","[{""time"":8,""event"":""goal""},{""time"":44,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":87,""event"":""foul""}]","2.09","48%","14","7","3","5","7","2","14","9","11","7","1"
"Werder Bremen","away","loss","[{""time"":85,""event"":""foul""},{""time"":92,""event"":""goal""}]","1.74","52%","18","8","3","1","10","3","13","11","10","5","0"
"FC Koln","home","loss","[{""time"":14,""event"":""foul""},{""time"":16,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":69,""event"":""foul""}]","0.54","28%","6","0","1","2","6","2","9","12","10","4","1"
"Bayer Leverkusen","away","win","[{""time"":23,""event"":""foul""},{""time"":37,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":73,""event"":""goal""}]","1.65","72%","17","6","9","2","11","1","10","17","9","0","0"
"Wolfsburg","home","loss","[{""time"":3,""event"":""foul""},{""time"":22,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":83,""event"":""goal""}]","1.13","42%","12","2","5","3","10","0","14","18","20","0",
"Stuttgart","away","win","[{""time"":14,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":78,""event"":""goal""},{""time"":83,""event"":""foul""}]","0.98","58%","7","3","4","2","4","2","17","11","12","0",
"Bochum","home","loss","[{""time"":7,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":86,""event"":""foul""}]","1.59","44%","15","4","2","3","11","4","12","22","13","1","1"
