"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Blocked Shots","Red Cards"
"Aston Villa","home","draw","[{""time"":12,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":85,""event"":""goal""},{""time"":85,""event"":""foul""},{""time"":88,""event"":""goal""}]","3.31","41%","19","5","5","1","14","2","21","16","11","4",,
"Liverpool","away","draw","[{""time"":2,""event"":""goal""},{""time"":23,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":59,""event"":""foul""}]","1.72","59%","14","7","4","1","7","6","13","18","15","2",,
"Manchester Utd","home","loss","[{""time"":70,""event"":""foul""}]","0.71","54%","14","2","4","0","12","2","5","17","5","4",,
"Arsenal","away","win","[{""time"":20,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.48","46%","11","5","7","2","6","0","7","20","6","2",,
"Nottingham","home","loss","[{""time"":16,""event"":""goal""},{""time"":74,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.60","32%","20","4","5","2","16","3","11","21","14","2",,
"Chelsea","away","win","[{""time"":8,""event"":""goal""},{""time"":15,""event"":""foul""},{""time"":34,""event"":""foul""},{""time"":80,""event"":""goal""},{""time"":82,""event"":""goal""},{""time"":82,""event"":""foul""}]","1.81","68%","12","5","6","3","7","1","17","15","8","2",,
"Bournemouth","home","loss","[{""time"":27,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":89,""event"":""goal""}]","0.59","48%","13","4","3","2","9","1","12","21","16","3",,
"Brentford","away","win","[{""time"":85,""event"":""foul""},{""time"":86,""event"":""goal""},{""time"":95,""event"":""goal""},{""time"":98,""event"":""foul""}]","1.60","52%","11","5","8","2","6","0","17","15","12","3",,
"Everton","home","win","[{""time"":31,""event"":""goal""},{""time"":36,""event"":""foul""}]","2.00","57%","15","6","3","1","9","3","11","20","6","1",,
"Sheffield Utd","away","loss","[{""time"":36,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.62","43%","13","1","6","2","12","0","9","18","11","5",,
"Newcastle","home","draw","[{""time"":50,""event"":""goal""},{""time"":79,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":93,""event"":""foul""}]","2.21","56%","18","7","8","3","11","3","17","20","9","3",,
"Brighton","away","draw","[{""time"":18,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.50","44%","15","4","4","4","11","1","12","12","16","6",,
"Tottenham","home","win","[{""time"":32,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":82,""event"":""goal""},{""time"":87,""event"":""foul""}]","2.58","63%","21","9","9","3","12","1","17","16","10","2",,
