"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Blocked Shots","Red Cards"
"Fulham","away","win","[{""time"":9,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":72,""event"":""goal""},{""time"":81,""event"":""foul""}]","3.15","42%","18","10","3","2","8","0","11","8","13","4",,
"Bournemouth","home","draw","[{""time"":16,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":36,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":91,""event"":""foul""}]","1.68","43%","20","5","7","4","15","1","16","21","13","0",,
"Manchester Utd","away","draw","[{""time"":31,""event"":""goal""},{""time"":65,""event"":""goal""}]","1.08","57%","8","2","2","0","6","2","14","16","14","3",,
"Brentford","home","win","[{""time"":7,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":93,""event"":""goal""}]","1.10","53%","9","5","3","3","4","3","13","21","8","2",,
"Sheffield Utd","away","loss","[{""time"":45,""event"":""foul""},{""time"":76,""event"":""foul""}]","0.81","47%","8","2","6","1","6","2","10","18","11","3",,
"Burnley","home","draw","[{""time"":28,""event"":""foul""},{""time"":74,""event"":""goal""}]","1.74","44%","11","3","4","1","8","1","12","7","18","7",,
"Brighton","away","draw","[{""time"":13,""event"":""foul""},{""time"":79,""event"":""goal""},{""time"":91,""event"":""foul""},{""time"":97,""event"":""foul""}]","1.03","56%","20","8","5","2","12","4","17","8","8","2",,
"Manchester City","home","win","[{""time"":2,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":76,""event"":""goal""},{""time"":87,""event"":""goal""},{""time"":93,""event"":""goal""}]","3.34","74%","37","13","12","1","24","0","6","10","7","1",,
"Luton","away","loss","[{""time"":81,""event"":""goal""}]","0.70","26%","4","2","1","0","2","1","7","12","6","8",,
"Nottingham","home","draw","[{""time"":46,""event"":""goal""},{""time"":57,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.94","46%","18","9","10","2","9","1","11","19","15","2",,
"Wolves","away","draw","[{""time"":30,""event"":""foul""},{""time"":40,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":62,""event"":""goal""}]","1.01","54%","11","4","1","3","7","1","15","20","10","7",,
"Newcastle","home","win","[{""time"":30,""event"":""goal""},{""time"":32,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":78,""event"":""foul""},{""time"":87,""event"":""goal""}]","2.65","27%","18","5","16","0","13","1","16","15","14","2",,
"Tottenham","away","loss","[{""time"":27,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":61,""event"":""foul""}]","0.69","73%","11","2","3","4","9","3","9","15","12","1",,
"Tottenham","home","win","[{""time"":15,""event"":""goal""},{""time"":25,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":58,""event"":""goal""},{""time"":60,""event"":""foul""}]","1.28","64%","17","7","12","2","10","2","14","11","11","5",,
"Nottingham","away","loss","[{""time"":14,""event"":""foul""},{""time"":27,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":78,""event"":""foul""}]","1.31","36%","13","6","2","4","7","2","13","16","12","4",,
"Sheffield Utd","home","draw","[{""time"":32,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":93,""event"":""goal""},{""time"":98,""event"":""foul""}]","1.47","32%","11","6","7","4","5","0","10","13","12","1",,
"Chelsea","away","draw","[{""time"":11,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":86,""event"":""foul""}]","0.41","68%","6","3","6","2","3","0","11","17","10","4",,
"Manchester Utd","home","draw","[{""time"":50,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":67,""event"":""goal""},{""time"":74,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":93,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":97,""event"":""foul""}]",,"38%","9","5","6","5","4","3","12","10","9","5",,
"Liverpool","away","draw","[{""time"":7,""event"":""foul""},{""time"":23,""event"":""goal""},{""time"":84,""event"":""goal""},{""time"":89,""event"":""foul""}]",,"62%","28","7","11","2","21","2","12","22","10","3",,
"Brighton","home","loss","[{""time"":76,""event"":""foul""}]","0.38","55%","10","2","8","1","8","2","17","13","14","4",,
"Arsenal","away","win","[{""time"":33,""event"":""goal""},{""time"":62,""event"":""goal""},{""time"":79,""event"":""foul""},{""time"":86,""event"":""goal""},{""time"":95,""event"":""foul""}]","3.55","45%","20","7","7","2","13","2","14","12","13","2",,
"Aston Villa","home","draw","[{""time"":38,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":80,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":97,""event"":""foul""}]","1.04","70%","11","3","11","2","8","0","15","14","15","0",,
"Brentford","away","draw","[{""time"":42,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":61,""event"":""goal""},{""time"":68,""event"":""goal""}]","1.21","30%","8","3","3","2","5","4","15","13","11","0",,
"Everton","home","win","[{""time"":34,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":47,""event"":""goal""}]","0.74","37%","12","3","3","2","9","10","14","20","11","1",,"0"
"Burnley","away","loss","[{""time"":67,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.41","63%","6","1","5","1","5","1","21","22","13","2",,"1"
"Fulham","home","loss","[{""time"":68,""event"":""foul""}]","1.33","67%","14","4","14","1","10","0","15","20","10","4",,
"Newcastle","away","win","[{""time"":19,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":81,""event"":""goal""},{""time"":95,""event"":""foul""}]","0.63","33%","12","5","3","2","7","2","8","10","13","4",,
"Luton","home","win","[{""time"":73,""event"":""goal""},{""time"":90,""event"":""goal""}]","1.33","56%","19","9","7",,"10","0","15","23","7","0",,
"Bournemouth","away","loss","[{""time"":52,""event"":""goal""},{""time"":58,""event"":""foul""}]","0.30","44%","8","1","2",,"7","0","7","22","14","7",,
"Wolves","home","loss","[{""time"":33,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":99,""event"":""foul""},{""time"":102,""event"":""foul""},{""time"":104,""event"":""foul""}]","1.62","58%","14","7","4","5","7","3","9","22","15","2",,
"West Ham","away","win","[{""time"":30,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":73,""event"":""goal""},{""time"":84,""event"":""goal""},{""time"":90,""event"":""foul""}]","1.23","42%","11","4","4","2","7","0","18","24","7","6",,
"Crystal Palace","home","loss","[{""time"":4,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":86,""event"":""goal""}]","1.40","24%","7","4","2","1","3","2","4","6","13","4",,
"Manchester City","away","win","[{""time"":13,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":66,""event"":""goal""},{""time"":70,""event"":""goal""}]","2.08","76%","18","8","9","1","10","1","15","20","3","2",,
"Chelsea","home","win","[{""time"":4,""event"":""goal""},{""time"":19,""event"":""goal""},{""time"":32,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":100,""event"":""goal""},{""time"":101,""event"":""goal""},{""time"":102,""event"":""foul""}]","2.82","57%","28","10","12","3","18","3","13","15","7","2",,
"Manchester Utd","away","loss","[{""time"":34,""event"":""goal""},{""time"":39,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":67,""event"":""goal""},{""time"":103,""event"":""foul""}]","1.54","43%","19","5","3","1","14","0","10","14","15","6",,
"Liverpool","home","win","[{""time"":17,""event"":""goal""},{""time"":76,""event"":""goal""},{""time"":90,""event"":""goal""}]","1.74","83%","29","9","13","0","20","0","9","14","6","2",,
"Sheffield Utd","away","loss","[{""time"":58,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":87,""event"":""foul""}]","0.64","17%","5","3","1","1","2","1","6","7","9","6",,
"Manchester City","home","win","[{""time"":11,""event"":""goal""},{""time"":32,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":62,""event"":""goal""},{""time"":69,""event"":""goal""}]","2.66","67%","25","11","2","1","14","1","14","11","6","2",,
"Aston Villa","away","loss","[{""time"":20,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.84","33%","8","3","3","2","5","1","7","9","13","7",,
"Arsenal","home","win","[{""time"":24,""event"":""goal""},{""time"":44,""event"":""goal""},{""time"":66,""event"":""foul""}]","0.93","58%","13","4","3","1","9","1","9","15","12","1",,
"Luton","away","loss","[{""time"":74,""event"":""foul""}]","0.19","42%","5","1","1","1","4","1","13","18","8","2",,
"Brentford","home","draw","[{""time"":76,""event"":""foul""}]","0.56","33%","5","2","1","1","3","3","12","11","9","6",,
"Brighton","away","draw","[{""time"":53,""event"":""foul""}]","1.19","67%","24","6","5","1","18","0","12","10","12","2",,
"West Ham","home","draw","[{""time"":19,""event"":""goal""},{""time"":53,""event"":""foul""}]","1.02","32%","11","4","9","1","7","3","10","16","13","3",,
"Tottenham","away","draw","[{""time"":5,""event"":""goal""},{""time"":44,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.89","68%","13","4","5","4","9","1","16","19","9","3",,
"Bournemouth","home","win","[{""time"":63,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":79,""event"":""goal""},{""time"":93,""event"":""foul""}]","1.22","50%","11","6","9","3","5","0","18","24","13","2",,
"Crystal Palace","away","loss","[{""time"":35,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":59,""event"":""foul""}]","0.10","50%","3","2","2","2","1","4","13","27","14","5",,
"Burnley","home","draw","[{""time"":37,""event"":""goal""}]","0.98","51%","13","6","7","0","7","2","18","23","10","1",,
"Wolves","away","draw","[{""time"":48,""event"":""goal""},{""time"":54,""event"":""foul""},{""time"":93,""event"":""foul""}]","0.84","49%","8","2","4","2","6","5","12","10","12","5",,
"Newcastle","home","draw","[{""time"":15,""event"":""goal""},{""time"":58,""event"":""foul""}]","2.67","58%","18","6","7","0","12","2","14","20","9","2",,
"Everton","away","draw","[{""time"":81,""event"":""foul""},{""time"":88,""event"":""goal""},{""time"":98,""event"":""foul""},{""time"":98,""event"":""foul""}]","1.48","42%","10","3","3","3","7","0","11","26","14","5",,
"Nottingham","home","win","[{""time"":9,""event"":""goal""},{""time"":19,""event"":""goal""},{""time"":48,""event"":""goal""},{""time"":63,""event"":""foul""}]","1.51","33%","16","4","3","1","12","2","8","16","7","2",,
"Fulham","away","loss","[{""time"":49,""event"":""goal""}]","1.24","67%","18","3","8","0","15","0","8","16","8","1",,
"Manchester City","home","draw","[{""time"":27,""event"":""foul""}]","1.01","72%","12","1","7","0","11","2","21","14","9","2",,
"Arsenal","away","draw","[{""time"":67,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":79,""event"":""foul""}]","0.70","28%","6","2","4","2","4","1","13","6","20","1",,
"Liverpool","home","win","[{""time"":14,""event"":""foul""},{""time"":27,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":95,""event"":""foul""}]","2.78","55%","30","8","8","5","22","5","10","15","20","2",,
"Brighton","away","loss","[{""time"":2,""event"":""goal""},{""time"":20,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":71,""event"":""foul""}]","0.43","45%","9","3","4","3","6","3","24","6","6","6",,
"Brentford","home","draw","[{""time"":45,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":99,""event"":""goal""},{""time"":102,""event"":""foul""}]","2.67","47%","31","5","14","3","26","1","15","14","7","4",,
"Manchester Utd","away","draw","[{""time"":39,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":96,""event"":""goal""},{""time"":102,""event"":""foul""}]","0.50","53%","11","5","4","2","6","2","7","15","14","4",,
"Aston Villa","home","win","[{""time"":30,""event"":""foul""},{""time"":36,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":96,""event"":""foul""}]","0.81","48%","11","5","5","3","6","1","21","7","11","3",,
"Wolves","away","loss","[{""time"":19,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":91,""event"":""foul""}]","1.23","52%","13","3","4","4","10","2","12","15","19","3",,
"Bournemouth","home","win","[{""time"":30,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":91,""event"":""goal""}]","1.63","49%","11","4","9","1","7","0","15","19","14","2",,
"Everton","away","loss","[{""time"":42,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":87,""event"":""goal""}]","1.08","51%","7","3","8","2","4","4","14","27","11","2",,
"Chelsea","home","draw","[{""time"":20,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":44,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":78,""event"":""goal""}]","3.33","69%","33","13","12","2","20","3","6","13","12","5",,"0"
"Burnley","away","draw","[{""time"":16,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":81,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.71","31%","18","7","4","4","11","0","14","9","7","11",,"2"
"Nottingham","home","draw","[{""time"":49,""event"":""foul""},{""time"":61,""event"":""goal""},{""time"":84,""event"":""foul""}]","0.99","59%","12","5","4","1","7","4","12","30","14","2",,
"Crystal Palace","away","draw","[{""time"":11,""event"":""goal""},{""time"":70,""event"":""foul""}]","1.05","41%","10","3","6","1","7","0","18","14","12","4",,
"Sheffield Utd","home","draw","[{""time"":58,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":82,""event"":""foul""},{""time"":99,""event"":""foul""},{""time"":100,""event"":""foul""},{""time"":102,""event"":""foul""}]","1.66","26%","8","4","2","4","4","2","11","8","10","6",,
"Fulham","away","draw","[{""time"":62,""event"":""goal""},{""time"":86,""event"":""goal""},{""time"":93,""event"":""goal""},{""time"":100,""event"":""foul""}]","1.54","74%","24","9","15","1","15","0","10","17","13","1",,
"Tottenham","home","win","[{""time"":51,""event"":""goal""},{""time"":86,""event"":""goal""},{""time"":95,""event"":""foul""},{""time"":96,""event"":""foul""}]","2.55","70%","17","4","3","2","13","1","12","27","16","2",,
"Luton","away","loss","[{""time"":3,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":36,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.43","30%","7","3","6","4","4","1","16","13","14","2",,
"Newcastle","home","win","[{""time"":6,""event"":""goal""},{""time"":17,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":77,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":83,""event"":""goal""},{""time"":90,""event"":""goal""},{""time"":91,""event"":""foul""},{""time"":94,""event"":""foul""}]","3.90","60%","24","9","3","3","15","1","9","16","9","1",,"1"
"West Ham","away","loss","[{""time"":21,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":54,""event"":""goal""},{""time"":48,""event"":""goal""},{""time"":80,""event"":""foul""}]","1.46","40%","10","4","4","1","6","2","10","15","8","5",,"0"
"West Ham","home","draw","[{""time"":29,""event"":""goal""},{""time"":48,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.77","31%","13","5","7","3","8","4","14","12","13","4",,
"Aston Villa","away","draw","[{""time"":70,""event"":""foul""},{""time"":79,""event"":""goal""},{""time"":83,""event"":""foul""},{""time"":86,""event"":""foul""}]","0.54","69%","13","5","10","3","8","2","17","17","12","4",,
"Fulham","home","win","[{""time"":42,""event"":""goal""},{""time"":49,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":61,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":96,""event"":""foul""}]","2.93","43%","16","7","4","2","9","2","14","23","9","5",,
"Tottenham","away","loss","[{""time"":63,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":96,""event"":""foul""}]","2.31","57%","14","5","5","3","9","4","11","15","10","4",,
"Burnley","home","win","[{""time"":10,""event"":""goal""},{""time"":62,""event"":""goal""},{""time"":81,""event"":""foul""},{""time"":91,""event"":""foul""}]","2.89","60%","17","6","5","2","11","5","21","15","14","4",,"0"
"Brentford","away","loss","[{""time"":8,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":83,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":100,""event"":""foul""},{""time"":103,""event"":""foul""}]","1.09","40%","9","5","4","4","4","3","19","12","17","4",,"1"
"Luton","home","draw","[{""time"":30,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":89,""event"":""goal""}]","0.47","60%","10","4","6","1","6","1","19","17","10","5",,
"Nottingham","away","draw","[{""time"":34,""event"":""goal""},{""time"":75,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.54","40%","16","6","7","2","10","2","11","15","17","3",,
"Bournemouth","home","win","[{""time"":50,""event"":""goal""},{""time"":62,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":83,""event"":""goal""}]","2.58","59%","24","10","11","1","14","1","12","25","16","1",,
"Luton","away","loss","[{""time"":9,""event"":""goal""},{""time"":30,""event"":""foul""},{""time"":31,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":66,""event"":""foul""}]","2.09","41%","8","4","3","2","4","1","17","21","11","6",,
"Chelsea","home","win","[{""time"":6,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":57,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":76,""event"":""goal""}]","1.67","45%","12","8","0","3","4","2","9","17","12","1",,
"Newcastle","away","loss","[{""time"":36,""event"":""foul""},{""time"":43,""event"":""goal""},{""time"":90,""event"":""goal""},{""time"":96,""event"":""foul""}]","0.83","55%","11","3","4","1","8","2","14","26","7","5",,
"Liverpool","home","draw","[{""time"":50,""event"":""goal""}]","2.82","53%","19","6","7","0","13","6","10","18","6","5",,
"Manchester City","away","draw","[{""time"":23,""event"":""goal""},{""time"":48,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":59,""event"":""foul""}]","1.50","47%","10","6","4","3","4","1","12","16","10","5",,
"Brighton","home","win","[{""time"":29,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":97,""event"":""foul""}]","0.51","64%","10","3","6","4","7","1","15","7","14","4",,
"Nottingham","away","loss","[{""time"":14,""event"":""foul""},{""time"":19,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.64","36%","9","4","3","4","5","1","15","15","14","2",,
"West Ham","home","draw","[{""time"":44,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":83,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":91,""event"":""goal""}]","1.75","52%","22","4","4","2","18","5","20","25","11","2",,
"Burnley","away","draw","[{""time"":11,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":84,""event"":""foul""}]","0.58","48%","11","4","3","4","7","2","16","20","18","2",,
"Aston Villa","home","loss","[{""time"":65,""event"":""foul""}]","0.82","31%","10","1","6","0","9","5","17","16","11","1",,"1"
"Tottenham","away","win","[{""time"":19,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":53,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":91,""event"":""goal""},{""time"":94,""event"":""goal""}]","1.78","69%","9","5","4","2","4","2","16","14","15","1",,"0"
"Arsenal","home","win","[{""time"":10,""event"":""foul""},{""time"":19,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":86,""event"":""goal""}]","1.26","72%","17","6","10","2","11","1","12","7","9","3",,
"Brentford","away","loss","[{""time"":4,""event"":""foul""},{""time"":21,""event"":""foul""},{""time"":34,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":99,""event"":""foul""}]","0.94","28%","9","4","4","4","5","2","10","11","10","4",,
"Bournemouth","home","draw","[{""time"":10,""event"":""foul""},{""time"":14,""event"":""foul""},{""time"":15,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":74,""event"":""goal""},{""time"":88,""event"":""foul""},{""time"":91,""event"":""goal""}]","2.70","70%","32","12","10","3","20","1","11","13","12","7",,
"Sheffield Utd","away","draw","[{""time"":27,""event"":""goal""},{""time"":36,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":88,""event"":""foul""}]","1.15","30%","13","9","3","5","4","1","13","13","11","10",,
"Crystal Palace","home","draw","[{""time"":11,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":86,""event"":""foul""}]","2.69","50%","21","4","8","2","17","0","12","17","20","1",,
"Luton","away","draw","[{""time"":27,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":96,""event"":""goal""}]","0.57","50%","8","2","6","3","6","1","20","22","11","3",,
"Wolves","home","win","[{""time"":11,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":67,""event"":""goal""}]","0.46","48%","8","3","3","2","5","3","11","18","7","6",,
"Fulham","away","loss","[{""time"":51,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":98,""event"":""goal""}]","1.24","52%","23","7","4","2","16","0","10","11","11","1",,
"Manchester Utd","home","win","[{""time"":12,""event"":""goal""},{""time"":36,""event"":""goal""},{""time"":69,""event"":""foul""}]","2.93","51%","15","8","5","1","7","6","12","12","13","6",,
"Everton","away","loss","[{""time"":27,""event"":""foul""},{""time"":34,""event"":""foul""}]","1.26","49%","23","6","8","2","17","1","19","14","11","6",,
"Sheffield Utd","home","loss","[{""time"":29,""event"":""foul""}]","0.26","19%","4","0","0","1","4","2","9","7","11","4",,
"Arsenal","away","win","[{""time"":5,""event"":""goal""},{""time"":13,""event"":""goal""},{""time"":15,""event"":""goal""},{""time"":25,""event"":""goal""},{""time"":39,""event"":""goal""},{""time"":58,""event"":""goal""},{""time"":64,""event"":""foul""}]","1.95","81%","22","10","7","0","12","5","13","17","4","0",,
"Manchester City","home","win","[{""time"":56,""event"":""goal""},{""time"":80,""event"":""goal""},{""time"":91,""event"":""goal""}]","3.15","73%","27","8","15","0","19","0","11","19","5","0",,
"Manchester Utd","away","loss","[{""time"":8,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":68,""event"":""foul""}]","0.19","27%","3","1","2","1","2","1","5","4","10","5",,
"Burnley","home","loss","[{""time"":1,""event"":""foul""},{""time"":68,""event"":""foul""}]","1.60","75%","20","6","7","2","14","2","17","29","8","1",,
"Bournemouth","away","win","[{""time"":12,""event"":""foul""},{""time"":13,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":88,""event"":""goal""}]","1.19","25%","10","3","2","4","7","4","10","18","13","6",,
"Luton","home","loss","[{""time"":5,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":72,""event"":""goal""},{""time"":84,""event"":""foul""}]","2.29","47%","13","5","8","1","8","3","20","12","8","5",,
"Aston Villa","away","win","[{""time"":24,""event"":""goal""},{""time"":29,""event"":""foul""},{""time"":38,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":89,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.81","53%","12","8","6","4","4","1","11","20","19","3",,
"Brentford","home","draw","[{""time"":50,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":69,""event"":""goal""},{""time"":73,""event"":""foul""},{""time"":91,""event"":""foul""}]","2.07","32%","14","5","0","3","9","1","13","21","10","4",,
"Chelsea","away","draw","[{""time"":35,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":83,""event"":""goal""}]","1.66","68%","17","6","6","1","11","4","10","21","9","3",,
"Everton","home","loss","[{""time"":45,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":92,""event"":""foul""}]","2.47","55%","22","11","4","1","11","2","7","20","9","2",,
"West Ham","away","win","[{""time"":62,""event"":""goal""},{""time"":91,""event"":""goal""},{""time"":92,""event"":""foul""},{""time"":93,""event"":""foul""},{""time"":95,""event"":""goal""}]","1.21","45%","12","5","5","2","7","1","11","16","6","10",,
"Fulham","home","win","[{""time"":21,""event"":""foul""},{""time"":32,""event"":""goal""},{""time"":89,""event"":""foul""},{""time"":91,""event"":""goal""}]","1.09","29%","12","5","2","1","7","2","14","13","16","5",,
"Brighton","away","loss","[{""time"":8,""event"":""foul""},{""time"":57,""event"":""foul""}]","1.11","71%","15","5","6","2","10","4","18","14","10","2",,
"Newcastle","home","win","[{""time"":14,""event"":""goal""},{""time"":33,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":92,""event"":""goal""}]","2.29","44%","14","7","3","0","7","0","13","21","8","3",,
"Wolves","away","loss","[{""time"":85,""event"":""foul""}]","0.70","56%","12","3","5","1","9","2","8","26","11","4",,
"Nottingham","home","loss","[{""time"":79,""event"":""foul""},{""time"":93,""event"":""foul""},{""time"":93,""event"":""foul""},{""time"":101,""event"":""foul""}]","1.10","30%","8","2","3","3","6","2","12","30","11","1",,
"Liverpool","away","win","[{""time"":59,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":99,""event"":""goal""}]","2.10","70%","22","2","12","2","20","1","13","23","12","2",,
"Tottenham","home","win","[{""time"":58,""event"":""foul""},{""time"":77,""event"":""goal""},{""time"":80,""event"":""goal""},{""time"":88,""event"":""goal""}]","1.58","78%","14","6","11","1","8","2","21","15","7","0",,
"Crystal Palace","away","loss","[{""time"":50,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":75,""event"":""foul""}]","0.41","22%","4","1","1","2","3","5","9","10","16","3",,
"West Ham","home","win","[{""time"":5,""event"":""goal""},{""time"":7,""event"":""goal""},{""time"":63,""event"":""goal""},{""time"":69,""event"":""goal""},{""time"":89,""event"":""foul""}]","1.56","41%","17","6","1","1","11","2","13","15","5","6",,
"Brentford","away","loss","[{""time"":13,""event"":""goal""},{""time"":23,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":82,""event"":""goal""}]","1.05","59%","14","8","7","2","6","4","7","24","9","2",,
"Wolves","home","win","[{""time"":30,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.23","63%","13","2","5","2","11","1","5","18","8","4",,
